Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
17:30:00.000Z,17:45:00.000Z,17.88541603088379,,,,,,,,,62,,,,900000,,,,,
17:45:00.000Z,18:00:00.000Z,17.88541601274887,,0.2969721,32.6093259,0.2969721,32.6093259,,,,1,,,,900000,,,,,
18:00:00.000Z,18:15:00.000Z,17.88541599589013,,,,,,,,,91,,,,900000,,,,,
18:15:00.000Z,18:30:00.000Z,17.88541599589013,,,,,,,,,,,,,900000,,,,,
18:30:00.000Z,18:45:00.000Z,17.88541599589013,,,,,,,,,1,,,,900000,,,,,
18:45:00.000Z,19:00:00.000Z,17.88541618409552,,,,,,,,,,,,,420000,,,480000,,
19:00:00.000Z,19:15:00.000Z,17.885415876013603,,,,,,,,,,,,,,,,300000,,600000
19:15:00.000Z,19:30:00.000Z,17.88541537064772,,,,,,,,,,,,,,,,900000,,
19:30:00.000Z,19:45:00.000Z,17.88541620463012,,,,,,,,,,,,,,,,420000,480000,
19:45:00.000Z,20:00:00.000Z,17.885416970869002,,,,,,,,,,,,,,,,240000,660000,
20:00:00.000Z,20:15:00.000Z,17.885416262077563,,,,,,,,,,,,,,,,420000,480000,
20:15:00.000Z,20:30:00.000Z,17.885416479671704,,,,,,,,,,,,,,,,660000,240000,
20:30:00.000Z,20:45:00.000Z,17.885416816262637,,,,,,,,,,,,,,,,900000,,
20:45:00.000Z,21:00:00.000Z,17.885416816262637,,,,,,,,,,,,,,,,900000,,
21:00:00.000Z,21:15:00.000Z,17.885416554469685,0.610909090909091,,,,,,,,,,,,,,,600000,300000,
21:15:00.000Z,21:30:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,,900000,
21:30:00.000Z,21:45:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
21:45:00.000Z,22:00:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
22:00:00.000Z,22:15:00.000Z,17.88541521344866,0.6545454545454545,,,,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,17.885415703909736,0.6545454545454545,,,,,,,,,,,,,,,540000,360000,
22:30:00.000Z,22:45:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
22:45:00.000Z,23:00:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
23:00:00.000Z,23:15:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
23:15:00.000Z,23:30:00.000Z,17.885416001539966,0.6545454545454545,,,,,,,,,,,,,,,600000,300000,
23:30:00.000Z,23:45:00.000Z,17.885415678757887,0.6545454545454545,,,,,,,,,,,,,,,420000,480000,
23:45:00.000Z,00:00:00.000Z,17.88541603088379,0.6545454545454545,,,,,,,,,,,,,,,900000,,
