Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
14:45:00.000Z,15:00:00.000Z,17.88541626413785,,0.321995,32.61015,0.321995,32.61015,,,,,,,,,,,,,
15:00:00.000Z,15:15:00.000Z,17.88541533113242,,,,,,,,,24,,,,777595,,,,,
15:15:00.000Z,15:30:00.000Z,17.885416864070613,,,,,,,,,13,,,,98514,,,,,
15:30:00.000Z,15:45:00.000Z,69.31931926946604,144.78468322753906,,,,,0.694052499867501,1.238150715827942,0.40410733222961426,211,,,,,771321,,,,
15:45:00.000Z,16:00:00.000Z,22.17679268132023,,0.2970018,32.6091396,0.2970018,32.6091396,,,,33,,,,623973,64355,,,,
16:00:00.000Z,16:15:00.000Z,17.88541603088379,,,,,,,,,49,,,,900000,,,,,
16:15:00.000Z,16:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
16:30:00.000Z,16:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
16:45:00.000Z,17:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
17:00:00.000Z,17:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
17:15:00.000Z,17:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
17:30:00.000Z,17:45:00.000Z,17.88541603088379,,,,,,,,,50,,,,900000,,,,,
17:45:00.000Z,18:00:00.000Z,17.88541603088379,,,,,,,,,20,,,,900000,,,,,
18:00:00.000Z,18:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
18:15:00.000Z,18:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
18:30:00.000Z,18:45:00.000Z,17.88541603088379,,,,,,,,,9,,,,900000,,,,,
18:45:00.000Z,19:00:00.000Z,17.88541603088379,,,,,,,,,144,,,,900000,,,,,
19:00:00.000Z,19:15:00.000Z,17.88541603088379,,,,,,,,,8,,,,900000,,,,,
19:15:00.000Z,19:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
19:30:00.000Z,19:45:00.000Z,17.88541603088379,,,,,,,,,19,,,,900000,,,,,
19:45:00.000Z,20:00:00.000Z,17.88541603088379,,,,,,,,,43,,,,900000,,,,,
20:00:00.000Z,20:15:00.000Z,17.88541603088379,,,,,,,,,37,,,,900000,,,,,
20:15:00.000Z,20:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
20:30:00.000Z,20:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
20:45:00.000Z,21:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
21:00:00.000Z,21:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
21:15:00.000Z,21:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
21:30:00.000Z,21:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
21:45:00.000Z,22:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
22:00:00.000Z,22:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
22:15:00.000Z,22:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
22:30:00.000Z,22:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
22:45:00.000Z,23:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
23:00:00.000Z,23:15:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
23:15:00.000Z,23:30:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
23:30:00.000Z,23:45:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
23:45:00.000Z,00:00:00.000Z,17.88541603088379,,,,,,,,,,,,,900000,,,,,
